Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D1,57,6.956177,7.44029,8.101517,7.447145,6.97953,7.491372
D1,58,6.964012,7.421351,8.101222,7.377587,6.984378,7.496916
D1,59,6.912647,7.385561,8.101032,7.459246,6.999646,7.497671
D1,60,6.913143,7.38866,8.100914,7.53192,6.997965,7.497665
D1,61,6.914594,7.389178,8.101032,7.51873,7.000046,7.488038
D1,62,6.9245,7.38003,8.100742,7.571435,6.999815,7.493544
D1,63,6.867446,7.343254,8.100973,7.554781,6.99822,7.488661
D1,64,6.867804,7.351287,8.100775,7.583292,6.99852,7.490566
D1,65,6.868983,7.347524,8.100914,7.586387,6.999211,7.496818
D1,66,6.882431,7.330896,8.101032,7.612592,6.999353,7.497526
D1,67,6.819177,7.291831,8.100809,7.631646,6.999177,7.497232
D1,68,6.816019,7.291037,8.100177,7.623418,6.998888,7.488615
D1,69,6.816284,7.294475,8.101173,7.622017,6.999111,7.495546
D1,70,6.836093,7.286414,8.101125,7.632408,7.000009,7.492765
D1,71,6.773349,7.25464,8.101028,7.677381,6.998703,7.491026
D1,72,6.762056,7.25537,8.101048,7.688368,6.998959,7.497017
D1,73,6.763014,7.250463,8.101011,7.683434,6.998912,7.488044
D1,74,6.788039,7.23547,8.100967,7.707793,6.999329,7.49568
D1,75,6.737068,7.194464,8.101032,7.748497,6.999372,7.492537
D2,76,6.720347,7.19305,8.101032,7.694495,6.999914,7.491641
D2,77,6.723396,7.19423,8.100653,7.728765,6.997782,7.496961
D2,78,6.778481,7.2487,8.097669,7.769017,6.998698,7.491922
D2,79,6.839493,7.264787,8.097124,7.794083,6.99865,7.495893
D2,80,6.896432,7.265194,8.100222,7.787944,6.998088,7.488371
D2,81,6.937126,7.26466,8.10006,7.763841,6.998959,7.496615
D2,82,6.92016,7.293922,8.101,7.759981,6.99775,7.497493
D2,83,6.825004,7.306922,8.100861,7.788657,6.99927,7.494036
D2,84,6.81547,7.30729,8.100722,7.816124,6.997303,7.489786
D2,85,6.816011,7.307066,8.100866,7.840706,6.998918,7.491048
D2,86,6.8776,7.34499,8.095217,7.860539,6.976818,7.531374
D2,87,6.922992,7.358817,8.099946,7.876741,6.968079,7.418661
D2,88,6.958108,7.359049,8.101028,7.89192,6.972168,7.454806
D2,89,6.987497,7.359408,8.100738,7.886389,6.97657,7.474108
D2,90,6.973629,7.392401,8.100984,7.908171,6.988575,7.488725
D2,91,6.912825,7.403458,8.100914,7.923215,6.997712,7.490808
D2,92,6.912791,7.403872,8.100754,7.939554,6.998043,7.488692
D2,93,6.914326,7.403648,8.100905,7.948692,6.998621,7.495394
D2,94,6.965574,7.436153,8.101032,7.939498,6.998736,7.49101
D2,95,6.997648,7.461062,8.100738,7.951106,6.998423,7.49767
D2,96,7.024541,7.460969,8.097492,7.969267,6.998509,7.490112
D2,97,7.045724,7.460944,8.095161,7.98102,6.998507,7.490268
D2,98,7.05364,7.483787,8.100439,7.989919,6.997921,7.491042
D2,99,7.006096,7.512296,8.090185,7.99473,6.999723,7.497243
D2,100,7.005899,7.51273,8.100738,8.006289,6.999049,7.490053
